Page,Performance,Accessibility,Best Practices,SEO,Progressive Web App
Home,"93, 95, 94, 95, 94; 94.2",98,100,100,TRUE
ROMs,"97, 97, 97, 98, 97; 97.2",98,100,100,TRUE
ROM Info,"98, 98, 98, 98, 97; 97.8",100,100,100,TRUE
Natures,"98, 96, 98, 97, 97; 97.2",100,100,100,TRUE
FAQ,"98, 96, 98, 98, 98; 97.6",93,100,92,TRUE
Rate,"97, 98, 98, 97, 98; 97.6",100,100,100,TRUE
Login,"100, 99, 99, 100, 100, 99.6",97,100,92,TRUE
Register,"99, 97, 100, 99, 99; 98.8",97,100,92,TRUE
Account,"99, 98, 98, 98, 99; 98.2",98,100,100,TRUE
Not Found,"99, 99, 96, 99, 97; 98",100,100,100,TRUE
Average,97.62,98.1,100,97.6,TRUE
